EmployeeNumber,Age,Gender,MaritalStatus,Attrition,Department,EducationField,Education,DistanceFromHome,BusinessTravel,Over18,EmployeeCount,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Tenure_Band,NumCompaniesWorked
1358,25,Male,Married,No,Product & Engineering,Medical Sciences,1,19,Occasional Travel,Y,1,7,3,2,1,2,3-5 yrs,3
1125,38,Male,Single,No,Business Development,Marketing & Communications,2,2,Occasional Travel,Y,1,10,1,0,0,0,0-2 yrs,7
2057,31,Male,Single,No,Product & Engineering,Medical Sciences,3,5,No Travel,Y,1,10,9,4,1,7,6-10 yrs,0
571,30,Female,Single,No,Product & Engineering,Medical Sciences,3,2,No Travel,Y,1,12,11,7,6,7,10+ yrs,0
479,36,Female,Single,No,Business Development,Medical Sciences,5,1,No Travel,Y,1,7,1,0,0,0,0-2 yrs,4
1375,40,Female,Divorced,No,Product & Engineering,Medical Sciences,1,2,Occasional Travel,Y,1,15,12,11,11,8,10+ yrs,5
424,31,Male,Married,No,People Operations,HR Studies,3,2,Occasional Travel,Y,1,9,2,2,1,0,0-2 yrs,3
1484,49,Male,Divorced,No,Product & Engineering,Biological Sciences,4,7,Occasional Travel,Y,1,29,8,7,0,7,6-10 yrs,3
132,44,Male,Married,No,Product & Engineering,Medical Sciences,3,23,No Travel,Y,1,17,3,2,1,2,3-5 yrs,4
647,24,Female,Married,Yes,Product & Engineering,Biological Sciences,3,7,Frequent Travel,Y,1,6,6,3,1,2,6-10 yrs,1
380,37,Female,Divorced,No,Product & Engineering,Medical Sciences,4,1,No Travel,Y,1,15,5,2,0,2,3-5 yrs,2
1487,29,Female,Single,Yes,Business Development,Applied Technology,3,13,Frequent Travel,Y,1,7,5,3,0,0,3-5 yrs,5
1997,38,Male,Married,No,Product & Engineering,Biological Sciences,4,6,Frequent Travel,Y,1,10,8,3,7,7,6-10 yrs,2
1244,27,Male,Married,No,Product & Engineering,Biological Sciences,3,14,Occasional Travel,Y,1,9,9,7,6,8,6-10 yrs,1
1428,30,Female,Divorced,No,Business Development,Marketing & Communications,4,7,Occasional Travel,Y,1,8,3,2,0,2,3-5 yrs,7
1555,32,Female,Married,No,Product & Engineering,Biological Sciences,2,5,Occasional Travel,Y,1,12,7,1,2,5,6-10 yrs,3
1243,35,Female,Married,No,Business Development,Marketing & Communications,2,8,No Travel,Y,1,16,13,2,4,12,10+ yrs,4
995,33,Female,Single,No,Product & Engineering,Biological Sciences,1,13,Occasional Travel,Y,1,5,3,2,0,2,3-5 yrs,3
832,40,Male,Single,No,Product & Engineering,Medical Sciences,4,16,Frequent Travel,Y,1,10,1,0,0,0,0-2 yrs,6
650,31,Male,Divorced,Yes,Business Development,Medical Sciences,4,13,Occasional Travel,Y,1,9,3,1,1,2,3-5 yrs,2
1306,45,Female,Single,No,Product & Engineering,Medical Sciences,3,25,Frequent Travel,Y,1,22,0,0,0,0,0-2 yrs,3
1950,34,Male,Single,No,Business Development,Marketing & Communications,3,1,Occasional Travel,Y,1,14,14,8,2,1,10+ yrs,1
1148,42,Male,Single,No,Product & Engineering,Medical Sciences,3,29,Occasional Travel,Y,1,16,1,0,0,0,0-2 yrs,4
1627,39,Male,Divorced,No,Product & Engineering,Medical Sciences,2,3,Occasional Travel,Y,1,11,10,8,0,7,6-10 yrs,0
2026,56,Male,Divorced,No,Product & Engineering,Biological Sciences,4,1,No Travel,Y,1,13,13,12,1,9,10+ yrs,1
1106,25,Male,Married,Yes,Product & Engineering,Applied Technology,1,4,Occasional Travel,Y,1,7,7,7,5,6,6-10 yrs,1
1032,59,Female,Single,No,Product & Engineering,Biological Sciences,3,2,Occasional Travel,Y,1,30,5,3,4,3,3-5 yrs,3
671,44,Male,Married,No,Product & Engineering,General Studies,4,3,Occasional Travel,Y,1,26,2,2,0,1,0-2 yrs,4
328,33,Female,Married,Yes,Product & Engineering,Biological Sciences,2,2,Occasional Travel,Y,1,13,9,7,1,7,6-10 yrs,7
1289,34,Male,Married,No,People Operations,Biological Sciences,3,11,Frequent Travel,Y,1,14,10,9,1,8,6-10 yrs,4
796,26,Male,Single,Yes,Business Development,Applied Technology,3,8,Occasional Travel,Y,1,6,4,3,1,2,3-5 yrs,6
1288,44,Male,Divorced,No,Product & Engineering,Biological Sciences,2,4,Occasional Travel,Y,1,26,25,9,14,13,10+ yrs,1
689,37,Male,Married,No,Product & Engineering,General Studies,3,3,Occasional Travel,Y,1,10,10,7,7,8,6-10 yrs,1
1980,54,Female,Single,No,Product & Engineering,Medical Sciences,3,10,Occasional Travel,Y,1,9,5,2,1,4,3-5 yrs,6
579,34,Male,Divorced,No,Product & Engineering,Biological Sciences,4,2,Occasional Travel,Y,1,14,7,3,5,7,6-10 yrs,3
1594,36,Male,Married,No,Product & Engineering,Biological Sciences,4,6,Frequent Travel,Y,1,9,3,2,0,2,3-5 yrs,3
287,40,Male,Married,No,Product & Engineering,Biological Sciences,5,9,No Travel,Y,1,5,3,2,0,2,3-5 yrs,9
2065,49,Male,Married,No,Business Development,Medical Sciences,3,2,Frequent Travel,Y,1,17,9,6,0,8,6-10 yrs,2
1132,39,Male,Single,No,Product & Engineering,Biological Sciences,3,9,No Travel,Y,1,9,5,4,0,3,3-5 yrs,9
731,41,Male,Divorced,No,People Operations,HR Studies,4,10,Occasional Travel,Y,1,23,21,6,12,6,10+ yrs,3
329,52,Male,Single,No,Business Development,Biological Sciences,4,2,No Travel,Y,1,33,33,7,15,12,10+ yrs,1
76,31,Male,Divorced,No,Product & Engineering,Biological Sciences,4,7,Occasional Travel,Y,1,10,7,7,1,7,6-10 yrs,3
1724,40,Female,Married,No,Product & Engineering,Biological Sciences,2,8,Occasional Travel,Y,1,18,1,0,0,0,0-2 yrs,2
441,30,Female,Married,No,Product & Engineering,Medical Sciences,2,28,Occasional Travel,Y,1,11,10,8,1,9,6-10 yrs,1
495,29,Male,Single,No,Product & Engineering,Biological Sciences,3,23,Occasional Travel,Y,1,6,3,2,1,2,3-5 yrs,9
977,58,Male,Single,Yes,Product & Engineering,Applied Technology,3,2,Occasional Travel,Y,1,7,1,0,0,0,0-2 yrs,4
964,40,Male,Divorced,No,Product & Engineering,Medical Sciences,4,9,Frequent Travel,Y,1,3,1,1,0,0,0-2 yrs,8
1666,43,Male,Married,No,Product & Engineering,Biological Sciences,2,15,Occasional Travel,Y,1,14,14,10,6,11,10+ yrs,1
868,37,Male,Divorced,No,Business Development,Marketing & Communications,4,16,Occasional Travel,Y,1,9,1,0,0,0,0-2 yrs,4
1241,30,Male,Married,No,Product & Engineering,Medical Sciences,3,1,Occasional Travel,Y,1,12,11,9,5,7,10+ yrs,0
1482,30,Male,Divorced,No,Product & Engineering,Applied Technology,3,7,No Travel,Y,1,1,1,0,0,0,0-2 yrs,1
1597,34,Male,Married,No,Product & Engineering,Applied Technology,4,10,Frequent Travel,Y,1,8,8,2,7,7,6-10 yrs,1
1395,33,Male,Married,No,Business Development,Biological Sciences,1,5,Frequent Travel,Y,1,8,5,4,1,2,3-5 yrs,6
944,49,Female,Married,No,Product & Engineering,General Studies,2,8,Occasional Travel,Y,1,29,26,9,1,7,10+ yrs,4
323,50,Female,Divorced,No,Business Development,Medical Sciences,4,1,Occasional Travel,Y,1,32,7,0,0,6,6-10 yrs,3
567,30,Female,Married,No,Business Development,General Studies,4,22,No Travel,Y,1,10,9,8,7,8,6-10 yrs,0
269,35,Female,Single,No,Product & Engineering,Medical Sciences,3,2,Frequent Travel,Y,1,10,6,2,1,2,6-10 yrs,5
1731,47,Male,Married,No,Business Development,Marketing & Communications,4,2,No Travel,Y,1,4,1,0,0,0,0-2 yrs,7
105,35,Male,Single,No,Product & Engineering,Medical Sciences,3,1,Occasional Travel,Y,1,6,6,4,0,4,6-10 yrs,1
1941,49,Male,Married,No,Product & Engineering,Biological Sciences,1,2,Frequent Travel,Y,1,28,5,4,4,3,3-5 yrs,3
1599,43,Male,Divorced,No,Product & Engineering,Applied Technology,3,27,Occasional Travel,Y,1,8,6,4,0,2,6-10 yrs,5
147,34,Male,Single,Yes,Product & Engineering,Biological Sciences,3,7,Frequent Travel,Y,1,9,9,7,0,6,6-10 yrs,1
1754,30,Male,Divorced,No,Business Development,Marketing & Communications,2,15,Occasional Travel,Y,1,12,7,7,1,7,6-10 yrs,2
1673,31,Female,Married,No,Business Development,Biological Sciences,4,5,Occasional Travel,Y,1,10,10,0,0,2,6-10 yrs,1
1314,46,Female,Single,No,People Operations,Biological Sciences,2,1,Occasional Travel,Y,1,10,7,6,5,7,6-10 yrs,6
920,43,Female,Divorced,No,Product & Engineering,Biological Sciences,3,8,Occasional Travel,Y,1,4,1,0,0,0,0-2 yrs,4
1737,39,Male,Married,No,Product & Engineering,Biological Sciences,3,1,No Travel,Y,1,9,9,8,5,8,6-10 yrs,1
1708,41,Male,Single,No,Business Development,Marketing & Communications,3,6,Occasional Travel,Y,1,10,10,8,8,7,6-10 yrs,1
791,52,Male,Married,No,Product & Engineering,Medical Sciences,4,19,No Travel,Y,1,5,4,3,1,2,3-5 yrs,0
475,30,Female,Married,No,Business Development,Applied Technology,2,25,No Travel,Y,1,4,2,2,2,2,0-2 yrs,7
1576,48,Female,Married,No,Product & Engineering,General Studies,4,15,Occasional Travel,Y,1,10,8,2,7,6,6-10 yrs,8
1544,29,Female,Married,No,Product & Engineering,General Studies,1,8,Occasional Travel,Y,1,9,7,7,0,7,6-10 yrs,3
431,49,Female,Single,No,Product & Engineering,Applied Technology,2,1,Occasional Travel,Y,1,25,7,1,0,7,6-10 yrs,7
2052,35,Female,Married,No,Product & Engineering,Biological Sciences,4,1,Occasional Travel,Y,1,4,4,3,1,1,3-5 yrs,1
1507,28,Male,Single,No,Business Development,Biological Sciences,3,7,Frequent Travel,Y,1,5,4,2,1,3,3-5 yrs,0
951,32,Female,Married,No,Product & Engineering,Biological Sciences,3,1,No Travel,Y,1,5,3,0,0,2,3-5 yrs,6
524,31,Female,Married,No,Product & Engineering,Medical Sciences,2,7,Occasional Travel,Y,1,13,13,10,3,12,10+ yrs,1
786,34,Male,Single,No,Business Development,General Studies,3,2,Occasional Travel,Y,1,6,6,5,1,4,6-10 yrs,1
775,34,Female,Divorced,No,Product & Engineering,Biological Sciences,5,8,Occasional Travel,Y,1,7,0,0,0,0,0-2 yrs,3
1317,50,Female,Married,No,Product & Engineering,Biological Sciences,3,28,Occasional Travel,Y,1,25,3,2,1,2,3-5 yrs,4
715,37,Male,Single,No,Product & Engineering,Biological Sciences,2,10,Occasional Travel,Y,1,4,1,0,0,0,0-2 yrs,3
903,47,Female,Married,No,Business Development,Marketing & Communications,2,2,Occasional Travel,Y,1,8,7,6,7,7,6-10 yrs,0
1551,24,Male,Divorced,No,Product & Engineering,Applied Technology,2,21,Occasional Travel,Y,1,2,1,1,0,0,0-2 yrs,0
1012,18,Male,Single,No,Product & Engineering,Biological Sciences,2,5,No Travel,Y,1,0,0,0,0,0,0-2 yrs,1
349,29,Male,Divorced,No,Business Development,Marketing & Communications,2,20,Occasional Travel,Y,1,10,3,2,0,2,3-5 yrs,2
1654,39,Male,Married,No,Product & Engineering,Medical Sciences,3,12,Occasional Travel,Y,1,7,5,4,1,0,3-5 yrs,4
1881,31,Male,Divorced,No,Product & Engineering,Biological Sciences,3,20,Occasional Travel,Y,1,10,10,8,0,2,6-10 yrs,1
1890,36,Male,Single,No,People Operations,HR Studies,1,2,Frequent Travel,Y,1,10,10,1,0,8,6-10 yrs,1
1383,34,Female,Single,No,Product & Engineering,Applied Technology,4,2,Occasional Travel,Y,1,14,14,11,4,11,10+ yrs,1
1049,45,Male,Single,No,People Operations,Medical Sciences,4,24,Occasional Travel,Y,1,6,6,3,0,4,6-10 yrs,1
113,23,Male,Divorced,No,Business Development,Applied Technology,1,2,Occasional Travel,Y,1,3,0,0,0,0,0-2 yrs,3
1966,32,Male,Single,No,Product & Engineering,Biological Sciences,4,5,Occasional Travel,Y,1,8,1,0,0,0,0-2 yrs,8
366,29,Male,Married,No,Business Development,Medical Sciences,3,2,Occasional Travel,Y,1,10,0,0,0,0,0-2 yrs,2
857,36,Male,Married,No,Business Development,Biological Sciences,2,1,Occasional Travel,Y,1,18,18,14,4,11,10+ yrs,1
2046,45,Female,Single,No,Business Development,Biological Sciences,3,20,Occasional Travel,Y,1,8,5,3,0,1,3-5 yrs,8
1707,24,Male,Married,No,Product & Engineering,Medical Sciences,3,9,Occasional Travel,Y,1,5,5,3,0,4,3-5 yrs,1
1563,38,Male,Married,No,People Operations,HR Studies,4,10,Frequent Travel,Y,1,10,6,3,1,2,6-10 yrs,3
702,33,Male,Single,Yes,Product & Engineering,Biological Sciences,3,3,Frequent Travel,Y,1,10,10,8,9,7,6-10 yrs,1
986,40,Female,Single,Yes,Business Development,Biological Sciences,3,24,No Travel,Y,1,22,1,0,0,0,0-2 yrs,4
305,33,Female,Married,No,Product & Engineering,Medical Sciences,4,4,Occasional Travel,Y,1,7,3,2,1,1,3-5 yrs,6
150,24,Male,Married,No,Product & Engineering,Biological Sciences,1,18,Occasional Travel,Y,1,6,5,3,1,2,3-5 yrs,0
1135,31,Male,Married,No,Business Development,Biological Sciences,3,20,Frequent Travel,Y,1,3,2,2,2,2,0-2 yrs,0
776,52,Male,Married,No,Business Development,Marketing & Communications,4,3,Occasional Travel,Y,1,34,34,6,1,16,10+ yrs,1
240,45,Female,Divorced,No,Business Development,Biological Sciences,2,4,Occasional Travel,Y,1,9,5,4,0,3,3-5 yrs,4
1267,44,Male,Married,No,Business Development,Marketing & Communications,3,5,Occasional Travel,Y,1,26,22,9,3,10,10+ yrs,7
1102,28,Male,Divorced,No,Product & Engineering,Biological Sciences,2,15,Occasional Travel,Y,1,4,4,2,2,2,3-5 yrs,1
1789,46,Male,Divorced,No,Product & Engineering,Medical Sciences,4,2,Occasional Travel,Y,1,24,2,1,2,2,0-2 yrs,7
1824,58,Male,Divorced,No,Business Development,Medical Sciences,3,2,No Travel,Y,1,37,16,9,14,14,10+ yrs,4
1312,36,Female,Married,No,Product & Engineering,Applied Technology,4,10,Occasional Travel,Y,1,10,7,7,1,7,6-10 yrs,3
391,37,Female,Single,No,Product & Engineering,Biological Sciences,3,1,Occasional Travel,Y,1,17,17,12,5,7,10+ yrs,1
1543,37,Male,Married,No,Product & Engineering,Medical Sciences,3,13,Occasional Travel,Y,1,10,10,8,3,7,6-10 yrs,1
564,29,Male,Married,No,Product & Engineering,Medical Sciences,4,3,Occasional Travel,Y,1,10,10,2,0,7,6-10 yrs,1
1651,36,Female,Married,No,Product & Engineering,Biological Sciences,4,5,Occasional Travel,Y,1,9,3,2,0,2,3-5 yrs,4
40,44,Male,Married,No,Product & Engineering,General Studies,4,10,Occasional Travel,Y,1,9,4,2,1,3,3-5 yrs,2
728,47,Male,Single,No,Business Development,Marketing & Communications,4,14,Occasional Travel,Y,1,20,7,7,1,7,6-10 yrs,2
291,32,Male,Married,Yes,Business Development,Medical Sciences,4,4,Occasional Travel,Y,1,14,14,8,9,8,10+ yrs,1
1903,44,Male,Married,No,Product & Engineering,Biological Sciences,4,1,Occasional Travel,Y,1,10,2,0,2,2,0-2 yrs,2
1516,32,Male,Single,No,Product & Engineering,Medical Sciences,3,10,Occasional Travel,Y,1,10,5,2,0,0,3-5 yrs,2
1447,34,Female,Married,No,Product & Engineering,Biological Sciences,3,1,Occasional Travel,Y,1,7,5,4,0,2,3-5 yrs,5
874,44,Male,Married,No,Product & Engineering,Biological Sciences,4,8,Occasional Travel,Y,1,10,3,2,0,2,3-5 yrs,2
1250,54,Male,Married,No,Product & Engineering,Biological Sciences,3,3,Occasional Travel,Y,1,36,10,9,0,9,6-10 yrs,3
1255,43,Male,Married,No,Product & Engineering,Biological Sciences,3,3,Occasional Travel,Y,1,25,8,7,0,7,6-10 yrs,3
256,34,Male,Married,No,Product & Engineering,Biological Sciences,1,2,Frequent Travel,Y,1,10,10,9,1,9,6-10 yrs,1
510,26,Male,Single,Yes,Product & Engineering,Applied Technology,1,3,Frequent Travel,Y,1,7,6,4,0,4,6-10 yrs,0
1355,38,Female,Divorced,No,Business Development,Biological Sciences,2,2,Occasional Travel,Y,1,11,7,7,1,7,6-10 yrs,3
1927,28,Male,Married,No,Business Development,Biological Sciences,2,1,Frequent Travel,Y,1,7,7,7,0,7,6-10 yrs,1
1411,37,Female,Single,No,Product & Engineering,Medical Sciences,3,11,Occasional Travel,Y,1,8,3,2,0,2,3-5 yrs,4
107,38,Female,Divorced,No,Product & Engineering,Medical Sciences,3,6,No Travel,Y,1,17,13,11,1,9,10+ yrs,7
1836,26,Male,Single,No,Business Development,Medical Sciences,3,10,Occasional Travel,Y,1,5,5,3,1,2,3-5 yrs,1
62,46,Male,Single,No,Business Development,Marketing & Communications,4,5,Frequent Travel,Y,1,14,9,6,0,8,6-10 yrs,4
208,29,Male,Married,No,Product & Engineering,Applied Technology,1,1,No Travel,Y,1,10,10,7,0,9,6-10 yrs,1
824,29,Male,Married,No,Product & Engineering,Biological Sciences,2,23,Occasional Travel,Y,1,10,10,7,0,7,6-10 yrs,1
1581,26,Female,Married,No,Product & Engineering,Biological Sciences,3,3,Occasional Travel,Y,1,1,1,0,0,0,0-2 yrs,1
1981,24,Male,Single,No,Product & Engineering,Biological Sciences,2,1,Occasional Travel,Y,1,4,4,3,1,2,3-5 yrs,1
1464,31,Male,Married,Yes,Product & Engineering,Biological Sciences,3,2,Frequent Travel,Y,1,7,2,2,2,2,0-2 yrs,6
1557,48,Female,Divorced,No,Business Development,Biological Sciences,4,16,Occasional Travel,Y,1,18,8,7,7,7,6-10 yrs,8
1691,48,Female,Married,Yes,Business Development,Medical Sciences,2,7,Frequent Travel,Y,1,19,9,7,7,7,6-10 yrs,2
2041,38,Female,Married,No,Business Development,Biological Sciences,2,10,Occasional Travel,Y,1,10,10,7,1,9,6-10 yrs,1
655,27,Female,Divorced,No,Product & Engineering,Medical Sciences,4,6,Occasional Travel,Y,1,6,5,3,0,3,3-5 yrs,0
245,38,Female,Single,No,Product & Engineering,Biological Sciences,2,9,Occasional Travel,Y,1,2,2,2,2,1,0-2 yrs,1
1029,42,Male,Married,No,Business Development,Marketing & Communications,2,5,Occasional Travel,Y,1,21,1,0,0,0,0-2 yrs,6
1712,45,Male,Married,No,Product & Engineering,Biological Sciences,1,1,No Travel,Y,1,25,23,15,14,4,10+ yrs,3
507,24,Female,Divorced,No,Business Development,Marketing & Communications,4,10,Occasional Travel,Y,1,5,5,2,0,3,3-5 yrs,1
649,34,Male,Married,No,Product & Engineering,Biological Sciences,2,1,Occasional Travel,Y,1,6,6,5,1,3,6-10 yrs,1
1083,26,Male,Married,No,Product & Engineering,Medical Sciences,2,1,Occasional Travel,Y,1,6,5,3,1,3,3-5 yrs,1
1716,47,Male,Married,Yes,Business Development,Biological Sciences,3,9,Frequent Travel,Y,1,25,23,5,14,10,10+ yrs,7
1653,25,Male,Divorced,No,Product & Engineering,Biological Sciences,1,2,Frequent Travel,Y,1,7,7,7,0,7,6-10 yrs,1
466,41,Male,Single,No,Product & Engineering,Medical Sciences,3,6,Occasional Travel,Y,1,8,5,4,1,2,3-5 yrs,6
1657,20,Female,Single,No,Business Development,Medical Sciences,3,2,Occasional Travel,Y,1,2,2,2,2,2,0-2 yrs,1
608,26,Female,Divorced,Yes,People Operations,Biological Sciences,4,17,Frequent Travel,Y,1,8,7,7,1,0,6-10 yrs,0
785,47,Female,Single,Yes,Business Development,Biological Sciences,2,27,Frequent Travel,Y,1,8,5,4,1,3,3-5 yrs,4
792,26,Female,Divorced,No,Product & Engineering,Biological Sciences,2,1,Frequent Travel,Y,1,5,2,2,2,0,0-2 yrs,3
1640,37,Female,Married,No,Product & Engineering,Medical Sciences,3,10,Occasional Travel,Y,1,8,8,4,7,7,6-10 yrs,1
335,40,Male,Divorced,No,Product & Engineering,Applied Technology,2,24,Occasional Travel,Y,1,9,9,8,4,7,6-10 yrs,1
1987,25,Female,Married,No,People Operations,HR Studies,3,2,Occasional Travel,Y,1,6,2,0,1,2,0-2 yrs,4
1934,47,Male,Married,No,Product & Engineering,Applied Technology,4,14,No Travel,Y,1,16,8,7,1,7,6-10 yrs,8
1883,29,Male,Single,No,Product & Engineering,Biological Sciences,3,7,Occasional Travel,Y,1,11,3,2,1,2,3-5 yrs,3
1585,36,Female,Single,No,Business Development,Biological Sciences,4,1,Occasional Travel,Y,1,15,1,0,0,0,0-2 yrs,6
1478,34,Male,Single,No,Business Development,General Studies,3,3,Occasional Travel,Y,1,15,13,9,3,12,10+ yrs,3
1965,27,Male,Single,No,Business Development,Marketing & Communications,3,9,Occasional Travel,Y,1,7,7,7,0,7,6-10 yrs,1
722,32,Male,Single,No,Business Development,Marketing & Communications,3,10,Occasional Travel,Y,1,10,10,7,0,8,6-10 yrs,1
1606,50,Male,Married,No,Product & Engineering,Medical Sciences,5,20,Frequent Travel,Y,1,32,30,8,12,13,10+ yrs,2
1179,30,Male,Married,No,Business Development,Marketing & Communications,3,10,Occasional Travel,Y,1,10,10,3,1,4,6-10 yrs,1
494,21,Female,Single,Yes,Business Development,Biological Sciences,3,12,Occasional Travel,Y,1,1,1,0,0,0,0-2 yrs,1
72,26,Female,Married,No,Business Development,Marketing & Communications,3,23,Occasional Travel,Y,1,5,2,2,0,0,0-2 yrs,7
844,27,Male,Divorced,No,Product & Engineering,Applied Technology,1,5,Occasional Travel,Y,1,9,9,8,0,8,6-10 yrs,1
754,43,Male,Married,No,Business Development,Biological Sciences,3,15,Frequent Travel,Y,1,7,2,2,2,2,0-2 yrs,3
426,31,Male,Divorced,No,Product & Engineering,Biological Sciences,4,2,Occasional Travel,Y,1,3,2,2,2,2,0-2 yrs,0
1554,35,Female,Married,No,Business Development,Biological Sciences,4,28,Occasional Travel,Y,1,6,5,3,4,2,3-5 yrs,0
144,22,Female,Single,No,Product & Engineering,Medical Sciences,3,15,Occasional Travel,Y,1,1,0,0,0,0,0-2 yrs,1
1703,44,Female,Married,No,Product & Engineering,Biological Sciences,3,2,Occasional Travel,Y,1,9,8,7,6,7,6-10 yrs,1
133,37,Male,Divorced,Yes,People Operations,HR Studies,4,6,Occasional Travel,Y,1,7,3,2,0,2,3-5 yrs,4
551,42,Female,Married,No,Product & Engineering,Applied Technology,4,28,Frequent Travel,Y,1,7,6,5,0,4,6-10 yrs,0
894,42,Female,Married,No,Product & Engineering,Biological Sciences,3,3,Occasional Travel,Y,1,17,5,3,1,3,3-5 yrs,2
367,31,Male,Married,No,Product & Engineering,Medical Sciences,3,23,Occasional Travel,Y,1,10,9,0,7,8,6-10 yrs,0
1221,36,Male,Divorced,No,Product & Engineering,Biological Sciences,4,6,Occasional Travel,Y,1,7,7,7,1,7,6-10 yrs,1
405,18,Male,Single,Yes,Product & Engineering,Biological Sciences,3,3,Occasional Travel,Y,1,0,0,0,0,0,0-2 yrs,1
746,47,Female,Divorced,No,Business Development,Medical Sciences,3,3,Frequent Travel,Y,1,28,22,2,11,13,10+ yrs,9
1265,34,Female,Married,No,Product & Engineering,Applied Technology,3,20,Occasional Travel,Y,1,2,1,0,0,0,0-2 yrs,0
940,58,Female,Divorced,No,Product & Engineering,Applied Technology,3,5,Occasional Travel,Y,1,24,6,0,0,4,6-10 yrs,2
501,36,Female,Married,No,Product & Engineering,Biological Sciences,3,2,Occasional Travel,Y,1,6,2,2,2,2,0-2 yrs,4
392,44,Male,Divorced,Yes,Product & Engineering,Biological Sciences,3,24,Frequent Travel,Y,1,19,1,0,0,0,0-2 yrs,3
1985,40,Female,Married,No,Product & Engineering,Applied Technology,3,11,Frequent Travel,Y,1,10,10,9,9,4,6-10 yrs,1
1969,54,Female,Married,No,Product & Engineering,Biological Sciences,2,9,Occasional Travel,Y,1,9,4,3,2,3,3-5 yrs,3
165,58,Female,Married,Yes,Product & Engineering,Medical Sciences,4,23,Occasional Travel,Y,1,40,40,10,15,6,10+ yrs,1
1702,23,Male,Divorced,Yes,Business Development,Biological Sciences,3,7,Occasional Travel,Y,1,3,3,2,0,2,3-5 yrs,1
399,31,Female,Divorced,No,Business Development,Marketing & Communications,3,5,Frequent Travel,Y,1,2,2,2,2,2,0-2 yrs,1
724,38,Female,Single,No,Product & Engineering,Biological Sciences,4,1,Occasional Travel,Y,1,10,9,7,1,8,6-10 yrs,0
1638,38,Female,Married,No,Product & Engineering,Medical Sciences,2,2,Occasional Travel,Y,1,10,5,4,0,2,3-5 yrs,3
930,28,Female,Divorced,No,Product & Engineering,Medical Sciences,3,9,Occasional Travel,Y,1,6,2,2,2,2,0-2 yrs,5
476,26,Male,Married,No,Business Development,Biological Sciences,3,1,Occasional Travel,Y,1,8,8,7,7,7,6-10 yrs,1
233,27,Male,Married,No,Product & Engineering,Applied Technology,3,17,Occasional Travel,Y,1,6,5,2,1,1,3-5 yrs,0
2038,32,Male,Single,No,Product & Engineering,Applied Technology,3,2,Occasional Travel,Y,1,4,4,2,1,2,3-5 yrs,1
1196,37,Female,Married,No,Product & Engineering,Biological Sciences,3,1,Occasional Travel,Y,1,14,14,8,3,11,10+ yrs,1
1650,29,Male,Single,No,Business Development,Medical Sciences,3,10,Occasional Travel,Y,1,8,5,2,1,4,3-5 yrs,9
288,46,Male,Divorced,No,Product & Engineering,Medical Sciences,4,1,Occasional Travel,Y,1,17,4,2,0,3,3-5 yrs,7
1614,36,Female,Married,No,Product & Engineering,Biological Sciences,4,12,Occasional Travel,Y,1,7,3,2,1,1,3-5 yrs,9
190,32,Female,Single,Yes,Product & Engineering,Medical Sciences,3,9,Occasional Travel,Y,1,10,5,4,0,4,3-5 yrs,7
1609,30,Male,Married,No,Product & Engineering,Medical Sciences,3,7,Occasional Travel,Y,1,6,6,4,1,1,6-10 yrs,1
1324,31,Female,Divorced,No,Business Development,Biological Sciences,4,2,No Travel,Y,1,10,10,8,9,6,6-10 yrs,1
1823,34,Male,Married,No,Business Development,Applied Technology,2,8,Occasional Travel,Y,1,10,10,8,4,8,6-10 yrs,1
1642,44,Male,Married,No,People Operations,HR Studies,5,1,Frequent Travel,Y,1,14,10,7,0,2,6-10 yrs,4
918,58,Male,Divorced,Yes,Product & Engineering,Biological Sciences,1,2,Frequent Travel,Y,1,3,1,0,0,0,0-2 yrs,9
1333,44,Male,Married,Yes,Product & Engineering,Biological Sciences,3,3,Occasional Travel,Y,1,10,3,2,1,2,3-5 yrs,4
1912,31,Female,Divorced,No,Business Development,Medical Sciences,2,10,Occasional Travel,Y,1,8,5,2,1,4,3-5 yrs,2
273,38,Male,Married,No,Product & Engineering,Applied Technology,3,29,Occasional Travel,Y,1,9,7,7,1,7,6-10 yrs,3
854,25,Male,Single,No,Product & Engineering,Medical Sciences,1,2,Occasional Travel,Y,1,6,4,3,0,1,3-5 yrs,7
826,35,Female,Single,No,Product & Engineering,Biological Sciences,4,1,Occasional Travel,Y,1,7,2,2,2,2,0-2 yrs,3
949,36,Male,Single,No,Product & Engineering,General Studies,4,7,Occasional Travel,Y,1,8,6,2,0,1,6-10 yrs,2
2024,36,Female,Married,No,Business Development,Medical Sciences,3,3,Occasional Travel,Y,1,10,9,7,3,4,6-10 yrs,0
1812,39,Male,Divorced,No,Business Development,Biological Sciences,3,20,Frequent Travel,Y,1,7,2,1,2,2,0-2 yrs,2
14,35,Male,Married,No,Product & Engineering,Medical Sciences,3,16,Occasional Travel,Y,1,6,5,4,0,3,3-5 yrs,0
199,41,Male,Divorced,No,Product & Engineering,Biological Sciences,3,10,Frequent Travel,Y,1,21,7,6,7,7,6-10 yrs,4
967,36,Male,Married,Yes,Business Development,Biological Sciences,1,3,Occasional Travel,Y,1,16,16,7,3,7,10+ yrs,1
388,29,Male,Single,No,Business Development,Biological Sciences,2,2,Frequent Travel,Y,1,10,10,7,0,9,6-10 yrs,1
