EmployeeNumber,JobRole,JobLevel,OverTime,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StandardHours,StockOptionLevel,TrainingTimesLastYear
1333,Lab Analyst,1,No,935,89,14669,2362,12,80,0,4
1912,Business Development Associate,2,Yes,1079,86,20115,6583,11,80,1,2
273,Operations Director,2,No,1084,54,4185,6261,18,80,1,3
854,Product Research Analyst,1,No,180,65,21632,3424,13,80,0,3
826,Product Research Analyst,1,No,1258,40,13301,2506,13,80,0,0
949,Product Research Analyst,1,No,188,65,23293,4678,18,80,0,6
2024,Business Development Associate,3,No,557,94,12695,7644,19,80,2,2
1812,Business Development Associate,2,No,766,83,19188,4127,18,80,1,6
14,Lab Analyst,1,No,809,84,16479,2426,13,80,1,5
199,Department Manager,4,No,857,91,12888,17181,13,80,1,2
967,Business Development Associate,3,Yes,530,51,5518,10325,11,80,1,6
388,Business Development Associate,2,No,442,44,20260,4554,18,80,0,3
407,Lab Analyst,1,No,566,81,7122,3688,18,80,2,2
817,Product Research Lead,3,No,213,49,25995,11691,11,80,0,3
397,Product Research Analyst,2,No,506,30,26285,4485,12,80,0,2
634,Client Relations Executive,2,No,1495,76,22174,9824,19,80,1,4
799,Operations Director,2,Yes,376,95,22670,5485,11,80,2,4
1440,Lab Analyst,1,No,1413,84,25470,3500,14,80,0,2
1044,Business Development Executive,1,No,1038,88,21437,2342,19,80,0,2
2055,Business Development Associate,3,Yes,410,39,16586,10854,13,80,1,3
170,Operations Director,2,No,470,96,5549,6567,14,80,0,2
1477,Business Development Associate,2,No,430,54,17456,4373,14,80,2,2
449,Business Development Associate,2,Yes,210,73,22107,6349,13,80,1,0
440,Product Research Analyst,1,Yes,1157,84,24737,3464,13,80,0,4
909,HR Specialist,2,No,1383,42,7790,5204,11,80,2,2
1569,Lab Analyst,1,Yes,104,69,26619,2074,12,80,1,2
997,Product Research Lead,4,No,1126,66,6615,17399,22,80,1,1
178,Operations Director,2,No,216,84,2819,4941,20,80,2,0
1780,Business Development Executive,1,No,337,31,4567,2679,13,80,0,3
644,Department Manager,5,No,1246,99,7999,18200,11,80,1,2
1118,Client Relations Executive,3,No,994,87,15322,10445,19,80,0,4
582,Department Manager,3,Yes,1277,56,24619,13610,12,80,0,2
1827,Operations Director,3,Yes,1001,92,19271,10333,12,80,1,4
872,Operations Director,2,No,1230,33,19146,4775,22,80,2,2
828,Product Research Analyst,1,No,890,46,16374,4382,17,80,0,3
1681,Business Development Associate,2,Yes,530,36,16130,5368,25,80,1,2
215,Business Development Associate,3,No,630,67,8552,10855,11,80,1,2
1371,Business Development Associate,2,No,793,43,20392,5071,20,80,0,3
2012,Lab Analyst,1,No,543,83,4060,2406,19,80,2,3
1096,Operations Director,3,No,1091,65,15813,10976,18,80,1,4
1108,Product Research Analyst,1,Yes,1017,55,2993,2313,20,80,0,0
970,Business Development Associate,3,No,625,46,14922,10609,11,80,0,2
1779,Business Development Associate,2,No,511,32,25353,6029,12,80,0,3
1280,Department Manager,5,No,168,33,9946,18789,14,80,1,2
1582,Business Development Associate,2,No,1245,80,12355,9924,11,80,1,3
1311,Lab Analyst,2,No,1138,48,23631,4627,12,80,1,6
847,HR Specialist,1,No,829,88,2243,3737,19,80,1,1
1658,Product Research Analyst,2,No,1130,66,19332,5433,12,80,1,2
2036,Business Development Associate,2,No,301,88,10436,5406,24,80,1,4
2040,HR Specialist,3,Yes,1146,31,16642,8837,16,80,0,2
586,Client Relations Executive,3,Yes,1276,72,14295,7632,12,80,0,2
1740,Department Manager,5,No,611,88,4349,19833,14,80,0,3
128,Business Development Associate,2,No,1353,33,17519,4999,21,80,1,2
981,Department Manager,4,No,1376,45,13938,14852,13,80,1,3
1671,Product Research Analyst,2,No,977,45,25518,5470,13,80,2,4
1504,Lab Analyst,1,No,289,38,5355,2561,11,80,0,2
1501,Client Relations Executive,2,Yes,1229,30,16143,4035,16,80,0,2
548,Operations Director,2,No,317,43,24793,6091,20,80,0,2
848,Product Research Analyst,1,Yes,887,88,20898,2366,14,80,1,2
811,Lab Analyst,1,Yes,1243,63,3445,1601,21,80,2,2
211,Operations Director,2,No,1169,34,13983,6132,17,80,0,2
827,Operations Director,2,Yes,932,43,4051,6062,13,80,1,4
856,Product Research Analyst,1,No,1343,53,17852,2559,11,80,0,3
600,Business Development Associate,2,No,619,85,18659,4717,11,80,0,2
701,Product Research Analyst,1,Yes,1362,32,26999,1009,11,80,0,5
1387,Business Development Associate,2,No,736,48,24232,4724,11,80,1,0
1202,Product Research Analyst,1,Yes,942,69,26933,2168,18,80,1,2
520,Product Research Lead,4,No,982,59,4345,14336,11,80,1,3
1180,Product Research Analyst,2,Yes,902,92,21203,4422,13,80,1,3
1192,Lab Analyst,1,No,1401,54,26342,3131,13,80,1,5
1863,Business Development Associate,4,No,1319,45,7739,13225,12,80,1,5
1792,Product Research Analyst,1,Yes,429,99,11092,2342,12,80,3,2
1443,Product Research Lead,4,No,359,82,26703,17169,19,80,2,2
772,Lab Analyst,2,No,430,80,21146,5309,15,80,2,2
662,Product Research Analyst,1,No,362,43,14561,2619,17,80,0,3
1352,Department Manager,4,Yes,770,84,17588,14026,11,80,1,2
422,Client Relations Executive,2,Yes,390,32,17056,5660,13,80,1,2
620,Business Development Associate,2,No,195,80,6698,4859,16,80,0,3
1465,Operations Director,3,Yes,1448,55,14720,9380,18,80,2,4
762,Client Relations Executive,4,No,832,81,20420,11103,11,80,0,1
1062,Client Relations Executive,2,No,124,35,13848,4107,15,80,0,3
1700,Business Development Associate,2,No,1278,31,7677,9525,14,80,2,2
985,Business Development Associate,3,No,903,41,2560,7880,18,80,0,3
1182,Operations Director,3,No,819,44,19588,10274,18,80,1,2
1070,Business Development Associate,3,No,1082,41,8392,10686,11,80,1,4
1046,Lab Analyst,1,No,1109,69,11135,4025,12,80,0,2
473,Department Manager,3,No,530,91,23978,12504,21,80,1,3
998,Client Relations Executive,2,Yes,827,84,20161,5488,13,80,1,2
163,Business Development Associate,2,Yes,249,76,20739,6172,18,80,0,3
244,Business Development Associate,3,No,526,92,2137,10453,25,80,3,2
393,Client Relations Executive,2,No,688,82,18899,5745,14,80,1,2
1995,Business Development Associate,2,No,1321,86,7636,4440,15,80,2,3
1706,Business Development Associate,2,Yes,1179,73,6069,7847,17,80,1,3
403,Product Research Analyst,1,Yes,889,53,11411,2326,12,80,3,3
445,Business Development Associate,2,Yes,1162,41,17778,5238,18,80,0,3
869,HR Specialist,1,No,1169,63,23965,4936,13,80,1,6
2049,Client Relations Executive,2,Yes,1199,80,24594,5689,14,80,2,2
117,Client Relations Executive,2,No,288,99,15830,4152,19,80,3,3
1307,Department Manager,4,Yes,412,94,17334,17123,13,80,2,4
1866,Department Manager,5,No,823,81,22539,19392,13,80,0,2
764,Client Relations Executive,2,No,975,55,23398,6811,19,80,0,2
936,Business Development Associate,2,No,462,68,7824,6244,17,80,0,6
1916,Lab Analyst,1,No,471,62,16031,3978,12,80,1,0
932,Lab Analyst,1,Yes,1122,70,4303,2404,21,80,0,2
1264,Product Research Lead,4,No,694,87,3423,16124,14,80,2,2
396,Product Research Lead,5,Yes,636,35,25594,18665,11,80,0,4
1961,Business Development Executive,1,No,1404,59,11473,2858,14,80,0,3
2008,Product Research Analyst,2,No,1395,48,18698,5098,19,80,0,5
468,Product Research Lead,4,No,810,44,15901,15992,14,80,0,2
1537,Product Research Analyst,1,No,561,33,4156,4084,12,80,0,2
1951,Business Development Associate,3,No,1239,39,22914,8628,18,80,1,2
924,Client Relations Executive,2,Yes,1425,68,4821,6586,17,80,1,2
800,Business Development Associate,2,No,829,84,24008,4342,19,80,1,3
615,Business Development Associate,3,No,1094,58,11373,10932,15,80,1,2
1535,Business Development Associate,3,Yes,971,64,12288,7083,14,80,0,3
451,Client Relations Executive,3,No,1001,43,9262,9985,16,80,1,1
1453,Business Development Associate,3,No,326,31,8386,10793,18,80,1,5
1999,Product Research Analyst,1,No,642,76,21412,2782,22,80,1,3
1956,Product Research Analyst,2,No,1125,48,5771,5003,21,80,0,6
1922,Client Relations Executive,2,No,1297,44,14511,5399,12,80,0,3
446,Business Development Associate,2,No,508,46,4317,4682,14,80,0,6
434,Product Research Analyst,1,Yes,1220,85,20938,2478,12,80,0,2
2061,Lab Analyst,2,No,884,41,12290,2571,17,80,1,3
1698,Lab Analyst,1,No,267,79,13637,2028,18,80,3,6
16,Product Research Analyst,1,No,670,31,15170,2911,17,80,1,1
235,Business Development Executive,1,No,602,100,20989,2325,21,80,0,5
359,Lab Analyst,1,No,1311,100,26062,2794,20,80,0,3
1133,Operations Director,2,No,217,78,23238,7779,20,80,0,0
1794,HR Specialist,2,No,1239,89,12832,4071,13,80,0,4
1056,Business Development Executive,1,No,1144,74,23384,1052,22,80,0,5
183,Business Development Associate,2,No,959,41,24835,8639,18,80,0,3
816,Lab Analyst,1,Yes,805,36,6689,2319,11,80,1,1
1120,Product Research Analyst,1,No,1107,93,26968,2514,22,80,1,1
1035,Product Research Lead,5,No,247,55,20284,19973,22,80,2,3
184,HR Specialist,2,Yes,1240,48,13982,6347,19,80,0,2
1800,Product Research Lead,3,No,1253,65,7914,13464,21,80,0,3
1783,Lab Analyst,1,Yes,1294,79,15999,2398,17,80,0,6
308,Operations Director,2,No,979,90,4381,4345,12,80,1,2
1045,Department Manager,4,No,1234,90,5404,17650,13,80,1,4
547,Product Research Analyst,2,No,532,92,12932,4556,11,80,1,3
442,Operations Director,3,No,798,48,14034,8943,24,80,1,2
408,Operations Director,2,No,1302,84,16321,5482,18,80,1,3
1184,Client Relations Executive,2,No,669,97,25755,5343,20,80,0,3
992,Department Manager,4,No,722,38,20489,17444,11,80,0,2
1962,Business Development Associate,2,Yes,1224,55,13586,5204,11,80,0,2
1986,Business Development Associate,2,No,444,92,4258,5677,14,80,1,4
1268,Business Development Associate,3,Yes,536,82,21708,8380,14,80,2,3
1163,Business Development Associate,2,No,1400,70,5829,5714,20,80,0,3
683,Product Research Analyst,1,No,1397,42,7660,2691,12,80,1,4
1015,Product Research Lead,3,Yes,153,73,17802,11416,12,80,3,4
5,Product Research Analyst,1,Yes,1392,56,23159,2909,11,80,0,3
1002,Lab Analyst,2,Yes,248,42,14039,3633,15,80,1,2
626,Business Development Associate,3,No,142,69,24666,8834,13,80,1,6
438,Business Development Associate,2,No,691,73,7143,7547,12,80,3,3
8,Lab Analyst,1,No,1005,79,11864,3068,13,80,0,2
1301,Product Research Analyst,1,No,640,84,4732,2080,11,80,0,2
1407,Product Research Analyst,1,No,683,36,4050,3904,12,80,0,2
1004,Product Research Analyst,1,Yes,138,48,11539,2132,11,80,0,2
52,Business Development Associate,2,No,1141,42,3193,5376,19,80,2,3
743,Operations Director,3,Yes,168,81,15397,7861,14,80,0,4
334,Product Research Analyst,2,No,1411,36,19877,3072,16,80,2,2
179,Operations Director,3,No,1150,53,25150,10650,15,80,0,2
837,Client Relations Executive,2,No,471,45,4284,6288,15,80,1,3
1864,Business Development Executive,2,No,728,36,7018,3540,21,80,1,5
901,Product Research Lead,4,No,102,72,20206,14275,18,80,0,0
1479,Business Development Associate,2,No,1358,96,2939,5301,15,80,2,2
1876,Business Development Executive,1,No,945,89,16019,1081,13,80,0,3
806,Lab Analyst,1,No,921,38,24375,3833,21,80,2,2
1423,Product Research Lead,5,Yes,1055,76,22456,19701,21,80,1,3
1047,Business Development Associate,2,No,216,75,12278,9725,11,80,1,2
1918,Lab Analyst,1,No,1096,61,7102,2544,18,80,1,3
500,Business Development Associate,2,No,1178,87,14862,4936,11,80,1,2
429,Department Manager,4,Yes,117,99,5355,17068,14,80,0,3
592,Business Development Associate,3,No,635,32,15318,9980,14,80,0,3
436,Business Development Associate,2,Yes,588,65,24624,5228,11,80,0,2
1071,Product Research Analyst,1,No,1240,63,12154,2942,19,80,1,4
1483,Product Research Analyst,2,No,405,93,2721,4900,24,80,1,2
568,Department Manager,4,No,210,56,22102,14118,12,80,1,3
763,Product Research Analyst,1,Yes,804,86,22929,2342,20,80,0,2
2023,Business Development Executive,1,No,638,33,26956,1790,19,80,1,3
1689,Client Relations Executive,3,No,1395,48,3458,7005,15,80,0,2
1675,Lab Analyst,1,No,148,42,23826,2440,22,80,0,3
829,HR Specialist,1,No,1041,36,25527,2143,13,80,1,2
312,Business Development Associate,3,No,1413,42,6599,7918,14,80,1,5
2015,Product Research Lead,3,No,201,99,3376,13206,12,80,1,3
1993,Client Relations Executive,3,No,1180,84,13084,8633,23,80,0,3
1309,Lab Analyst,2,No,1089,79,22845,4883,18,80,1,3
1621,Product Research Analyst,2,No,819,48,26312,5208,11,80,0,2
85,Operations Director,2,No,1195,95,22656,6499,13,80,0,3
1420,Lab Analyst,2,No,1475,97,22710,4284,20,80,0,2
804,Product Research Analyst,1,No,121,86,7530,4381,11,80,0,3
1322,Operations Director,2,No,524,32,13352,4534,11,80,0,6
292,Operations Director,3,No,829,88,20925,8474,22,80,0,2
1391,Business Development Associate,3,No,541,52,15395,10596,11,80,0,5
1291,Product Research Analyst,1,Yes,735,66,6020,3506,14,80,0,3
732,Business Development Associate,2,No,1179,84,11924,5405,14,80,0,1
2044,Business Development Associate,2,No,878,94,14255,6728,12,80,2,3
1546,Product Research Analyst,1,No,950,97,4585,2132,20,80,1,3
112,Operations Director,3,No,1400,49,21698,7260,11,80,0,3
1857,Operations Director,3,No,706,82,19989,8578,14,80,1,4
1768,Lab Analyst,1,No,855,57,8952,2766,22,80,3,6
1697,Client Relations Executive,3,No,370,92,20467,10883,20,80,1,2
879,Business Development Associate,2,Yes,141,98,14363,4194,18,80,0,3
1858,HR Specialist,1,No,280,43,10494,2706,15,80,1,2
1572,Operations Director,3,No,607,78,14618,10169,16,80,1,4
1936,Operations Director,2,No,867,87,12315,5151,25,80,1,3
1867,Product Research Lead,5,No,1224,91,13583,19665,12,80,0,3
378,Business Development Associate,2,No,228,98,22825,6502,14,80,1,5
1392,Product Research Analyst,2,Yes,1200,75,13953,5467,14,80,2,4
484,Business Development Executive,1,No,895,39,2851,2610,24,80,0,3
859,Business Development Associate,2,No,117,73,9250,4403,11,80,1,3
4,Lab Analyst,1,Yes,1373,92,2396,2090,15,80,0,3
10,Lab Analyst,1,Yes,1324,81,9964,2670,20,80,3,3
425,Lab Analyst,3,No,1249,97,20308,5210,18,80,1,2
881,Product Research Analyst,1,Yes,130,96,16612,2022,19,80,1,3
1257,Product Research Analyst,1,No,469,46,9256,3692,12,80,0,2
2037,Business Development Associate,2,No,930,57,12227,8938,11,80,1,5
298,Department Manager,3,Yes,896,75,14674,13591,18,80,0,3
1292,Product Research Analyst,2,Yes,603,78,5628,2372,16,80,0,2
35,Business Development Associate,2,No,691,48,21173,6825,11,80,1,2
1495,Business Development Executive,1,No,830,78,7103,2033,13,80,1,2
1157,Business Development Associate,2,Yes,603,77,18385,8224,17,80,0,3
902,Client Relations Executive,2,No,422,33,21782,5562,13,80,1,2
885,Business Development Associate,2,No,583,87,18154,4256,12,80,0,1
1006,Product Research Analyst,1,No,1391,66,12127,2684,17,80,1,0
1515,Client Relations Executive,2,Yes,516,69,22049,6388,17,80,0,6
862,Business Development Associate,3,Yes,661,78,20715,10934,18,80,1,3
1126,Operations Director,3,No,1082,83,11535,10820,11,80,1,1
351,Lab Analyst,1,Yes,269,56,8007,2593,11,80,1,4
32,Department Manager,5,No,1282,58,10735,19094,11,80,1,3
454,Lab Analyst,1,Yes,318,77,4759,2119,11,80,0,4
793,Client Relations Executive,2,No,657,66,25549,4335,12,80,1,3
61,Product Research Analyst,1,No,408,73,10227,3022,21,80,0,1
141,Product Research Lead,5,Yes,1115,73,9755,18172,19,80,0,1
469,Business Development Associate,2,No,746,61,16928,4649,14,80,1,3
73,Product Research Lead,3,Yes,515,98,15146,13458,12,80,0,1
1074,Department Manager,4,No,444,40,17323,16756,15,80,0,3
296,Product Research Lead,3,No,1469,81,15736,12490,16,80,2,5
159,Product Research Analyst,1,No,1312,96,22310,2613,25,80,3,2
1256,Department Manager,5,No,1098,85,12124,18711,13,80,1,2
987,Operations Director,2,Yes,1379,64,6759,5067,19,80,0,3
95,Product Research Analyst,1,No,1082,87,18775,2501,17,80,0,4
1856,Lab Analyst,1,No,207,64,5411,2105,12,80,0,2
1308,Product Research Analyst,1,No,848,88,26076,2372,12,80,2,3
58,Product Research Lead,5,No,1360,49,16280,19545,12,80,0,0
2054,Product Research Analyst,1,No,468,73,8489,3785,14,80,0,3
716,Lab Analyst,1,Yes,1207,74,3297,3221,11,80,3,3
2010,Lab Analyst,1,No,267,49,15919,2837,13,80,0,3
1608,Product Research Lead,5,Yes,1313,31,3549,19049,14,80,1,4
1152,HR Specialist,1,No,433,37,6004,2844,13,80,1,2
1053,Product Research Analyst,1,Yes,342,57,15346,2042,14,80,1,2
729,Business Development Associate,3,Yes,580,48,23772,10475,21,80,1,2
834,Product Research Analyst,1,No,252,95,6153,2274,14,80,0,3
624,Client Relations Executive,3,No,1034,86,8984,10527,11,80,0,3
1082,Client Relations Executive,3,No,1366,72,12355,8722,12,80,0,2
1755,Product Research Analyst,1,Yes,181,97,5586,2932,14,80,3,3
1034,Client Relations Executive,2,Yes,135,62,12992,6385,14,80,2,3
1269,Product Research Analyst,1,Yes,265,57,21221,2994,12,80,0,2
78,Operations Director,2,Yes,427,33,10877,6162,22,80,1,3
1449,Lab Analyst,2,No,663,81,23099,3975,11,80,2,2
121,Business Development Associate,2,Yes,1334,63,19760,5209,12,80,3,4
926,Operations Director,2,Yes,617,34,10022,4171,19,80,1,3
945,Product Research Analyst,1,No,1469,51,5543,2259,17,80,2,2
264,Department Manager,4,No,1195,65,20462,16792,23,80,1,1
386,Product Research Lead,4,Yes,1070,45,21016,17584,16,80,3,5
481,Business Development Associate,3,No,541,48,7246,9699,11,80,1,2
710,Product Research Analyst,1,No,806,76,18959,2720,18,80,1,5
1080,Product Research Analyst,2,Yes,1003,74,21029,4615,23,80,3,2
1025,Operations Director,2,No,549,42,23371,5003,14,80,0,6
248,Business Development Executive,1,Yes,1356,70,21728,3140,22,80,0,5
1401,Operations Director,4,Yes,322,59,9731,13247,11,80,1,3
145,Client Relations Executive,3,No,1456,30,25796,7484,20,80,0,1
55,Lab Analyst,1,No,1357,48,10558,2293,12,80,0,2
1556,Business Development Executive,1,Yes,1157,70,17001,2644,21,80,0,3
282,Client Relations Executive,2,Yes,1180,70,11354,6673,19,80,0,2
1613,Business Development Associate,2,No,715,54,21602,5332,13,80,0,3
68,Business Development Associate,2,Yes,1488,75,4009,5454,21,80,1,2
747,Business Development Associate,2,No,501,99,25275,5304,23,80,1,2
1331,Business Development Executive,1,Yes,1060,54,8319,2302,11,80,0,2
1405,Product Research Analyst,1,Yes,135,51,25681,2394,13,80,0,2
1136,Product Research Analyst,1,No,1451,67,19911,3201,17,80,0,2
1009,Operations Director,2,No,1206,41,24117,4377,15,80,2,6
249,Lab Analyst,1,No,328,86,3425,3690,15,80,1,2
182,Business Development Associate,2,No,1329,47,14590,5902,14,80,1,1
1298,Operations Director,2,Yes,879,72,12858,4695,18,80,0,3
104,Lab Analyst,2,Yes,852,55,15998,5126,12,80,2,1
1669,Business Development Associate,2,Yes,991,43,3356,4187,13,80,1,3
140,Department Manager,5,No,1420,32,21922,18844,21,80,1,3
742,Product Research Lead,3,No,427,63,20335,11713,14,80,1,2
994,Product Research Analyst,1,Yes,906,92,11479,2404,20,80,0,5
648,Business Development Executive,1,No,448,74,14470,2033,18,80,1,2
226,Department Manager,5,No,1452,53,17053,19926,15,80,0,5
340,Product Research Analyst,1,No,1017,83,18697,3920,14,80,1,2
421,Product Research Lead,3,No,849,81,26707,12061,17,80,1,2
599,Business Development Associate,2,No,267,56,13430,6230,14,80,0,3
1762,Product Research Analyst,1,No,590,91,10007,2109,13,80,1,2
452,Product Research Analyst,2,No,549,75,9278,3697,14,80,2,3
129,Business Development Associate,2,No,120,43,8863,4221,15,80,0,3
1954,Client Relations Executive,2,No,136,89,6225,5373,12,80,1,5
1109,Department Manager,4,No,469,35,14399,17665,17,80,1,3
1263,Product Research Lead,5,No,715,76,8733,18265,12,80,0,3
137,Lab Analyst,1,Yes,871,66,19783,2926,18,80,0,5
581,Operations Director,3,No,1274,33,14394,10648,25,80,1,6
1722,HR Specialist,2,No,552,60,20794,6430,19,80,1,4
1844,HR Specialist,1,Yes,350,56,3157,2335,15,80,3,3
1171,Business Development Associate,2,No,647,45,2253,5155,13,80,0,3
2045,Business Development Associate,2,No,1120,100,14369,6652,13,80,1,2
412,Client Relations Executive,2,No,1476,68,4824,5661,19,80,0,2
1734,Business Development Associate,2,No,964,34,12147,6735,15,80,0,2
1682,Client Relations Executive,2,No,1351,80,7419,5347,14,80,2,2
517,Lab Analyst,1,No,201,95,20490,2576,16,80,1,5
327,Department Manager,4,Yes,1034,80,7744,16064,22,80,1,3
1710,Business Development Executive,2,No,530,51,7439,4502,15,80,0,2
369,Client Relations Executive,2,No,675,85,18384,4000,12,80,2,2
419,Lab Analyst,2,No,1105,47,6927,5674,15,80,1,3
154,Business Development Associate,3,No,1467,92,22952,9738,14,80,1,6
1668,Product Research Analyst,2,No,1189,90,9867,4735,15,80,2,4
939,Product Research Analyst,1,Yes,1198,100,3339,2799,11,80,0,1
341,Operations Director,2,No,1199,77,5118,6434,17,80,1,1
1898,Business Development Associate,2,No,511,89,26997,6500,14,80,0,5
1489,Business Development Associate,2,Yes,790,40,7815,4599,23,80,0,2
94,Product Research Analyst,1,No,1328,76,4956,2703,23,80,1,3
125,Business Development Associate,2,No,1093,87,24301,5010,16,80,0,0
1124,Department Manager,4,No,406,52,15596,17465,12,80,1,3
42,Business Development Executive,2,No,895,56,3335,2086,14,80,1,6
1523,Product Research Lead,4,No,136,32,22074,16328,13,80,1,1
601,Operations Director,4,No,302,75,20364,13237,15,80,0,3
597,Department Manager,4,No,1117,83,9873,16835,23,80,0,2
999,Product Research Lead,5,No,840,64,3735,19419,17,80,1,2
1188,Business Development Associate,2,No,1372,85,9489,5346,13,80,0,2
1583,Business Development Associate,2,No,437,90,16379,4198,12,80,0,5
1752,Business Development Executive,1,No,428,52,14630,2760,13,80,0,3
1417,Lab Analyst,1,No,652,100,23577,3578,12,80,0,2
101,Product Research Lead,3,Yes,193,52,15067,13245,14,80,0,3
110,Operations Director,2,No,1153,94,17736,4325,15,80,0,2
1382,Product Research Analyst,1,No,693,57,15748,2610,11,80,3,2
106,Business Development Associate,3,No,111,70,18092,10239,14,80,1,4
614,Business Development Executive,1,Yes,1306,69,8059,1878,14,80,0,3
1628,Operations Director,3,No,884,80,25800,10435,13,80,2,2
942,Client Relations Executive,2,Yes,1137,51,19170,4014,25,80,1,2
1315,Lab Analyst,2,No,1476,55,16392,6674,11,80,3,6
1680,Business Development Executive,1,No,727,54,21082,2728,11,80,0,3
584,Lab Analyst,1,No,587,38,6705,3408,13,80,3,2
895,Product Research Analyst,1,Yes,1222,48,14871,2356,19,80,1,2
1092,Client Relations Executive,3,No,1492,61,26542,10322,20,80,1,6
1215,Department Manager,4,No,1421,30,9490,17856,22,80,1,3
1648,Product Research Analyst,1,No,591,87,6297,2580,13,80,0,0
536,Lab Analyst,2,No,1300,79,13535,4558,12,80,1,2
1790,Client Relations Executive,3,Yes,1383,90,25949,8321,13,80,1,1
1472,Product Research Lead,4,No,447,39,19764,16598,12,80,0,2
1803,Client Relations Executive,2,No,1128,95,5696,5538,18,80,2,2
139,Client Relations Executive,2,No,1040,100,15850,5163,14,80,1,2
843,Product Research Lead,4,No,589,94,5200,17159,24,80,1,3
1270,Product Research Analyst,1,No,373,47,16901,1223,22,80,1,2
1409,Lab Analyst,1,No,258,54,17363,2950,13,80,0,2
1249,Product Research Analyst,1,No,1010,97,5598,3760,15,80,3,5
80,Product Research Lead,5,Yes,989,43,16701,18740,12,80,1,2
387,Business Development Associate,2,No,635,99,24532,4907,25,80,0,3
2068,Lab Analyst,2,No,628,82,10228,4404,12,80,0,3
330,Business Development Executive,1,No,1401,56,20990,3931,11,80,1,5
307,Business Development Associate,3,No,119,76,9647,10609,12,80,2,6
197,Product Research Analyst,1,No,201,84,10415,3204,14,80,1,3
1935,Business Development Associate,2,No,1443,89,20328,5380,16,80,1,3
497,Lab Analyst,1,No,1469,82,17881,3816,11,80,1,2
155,Lab Analyst,1,No,922,39,2561,2835,22,80,1,2
1802,Lab Analyst,1,No,616,99,25605,3377,17,80,1,5
342,Operations Director,3,No,504,61,22573,10048,11,80,2,5
1994,Lab Analyst,1,No,1313,59,20439,2008,12,80,3,2
13,Client Relations Executive,2,No,1299,94,16577,5237,13,80,2,3
602,Lab Analyst,1,No,443,48,17872,3755,11,80,1,3
990,Business Development Associate,2,No,1229,84,25952,5079,13,80,2,3
350,Operations Director,2,No,685,62,7505,4898,12,80,2,3
823,Operations Director,2,No,676,35,23361,5228,15,80,1,2
518,Operations Director,2,Yes,1305,49,21123,4197,12,80,0,2
1282,Department Manager,5,Yes,237,83,19196,19847,24,80,1,5
1655,Product Research Lead,4,No,301,72,3498,16413,16,80,2,2
771,Client Relations Executive,2,No,1225,61,4761,5093,11,80,1,2
1767,Product Research Analyst,1,Yes,807,38,15587,2437,16,80,1,4
1114,Business Development Associate,2,No,970,30,13401,4302,17,80,1,3
618,Business Development Associate,2,No,775,45,4267,4306,12,80,2,5
1007,Operations Director,3,No,566,75,24208,10845,13,80,1,3
1907,Lab Analyst,1,No,1162,97,10261,2587,16,80,0,3
195,Business Development Associate,2,No,689,35,22812,4668,17,80,3,2
680,Product Research Analyst,1,No,160,71,22653,2083,20,80,1,2
1562,Business Development Associate,2,No,740,64,5323,9714,11,80,1,4
1027,Operations Director,2,No,1055,47,4658,4227,18,80,1,2
1911,Product Research Lead,3,No,1396,83,14842,13348,13,80,1,3
1016,Product Research Analyst,1,Yes,1097,98,18275,2600,15,80,0,2
738,Business Development Executive,1,No,316,54,9983,3875,15,80,1,2
243,Lab Analyst,1,No,303,47,9241,1102,22,80,0,3
1996,Business Development Executive,1,No,1154,54,6393,3067,19,80,1,1
974,Business Development Executive,1,No,1404,84,18203,2157,15,80,1,5
1860,Lab Analyst,1,No,1142,81,13624,3968,13,80,0,3
1880,Business Development Associate,2,Yes,1266,63,6060,5673,13,80,1,4
1167,Business Development Associate,4,Yes,481,44,2447,13758,12,80,0,2
1204,Department Manager,4,No,1402,69,24097,17048,23,80,0,2
2056,Business Development Associate,4,No,722,60,8828,12031,11,80,1,2
11,Lab Analyst,1,No,1358,67,13335,2693,22,80,1,2
1435,Lab Analyst,2,No,172,37,22604,5810,16,80,0,2
927,Lab Analyst,1,Yes,1085,57,17725,2778,13,80,1,1
1605,Product Research Analyst,1,Yes,457,85,10293,2814,14,80,0,2
478,Business Development Executive,1,Yes,756,99,9150,2174,11,80,0,3
1085,Product Research Analyst,1,No,509,43,18863,3376,13,80,0,3
1564,Lab Analyst,1,No,992,68,21731,2450,19,80,0,3
447,Product Research Lead,5,No,1482,42,16375,18300,11,80,1,2
1460,Client Relations Executive,3,Yes,1038,95,19863,10851,18,80,1,2
1590,Client Relations Executive,2,No,995,87,24483,8853,19,80,1,0
2060,Business Development Executive,1,No,1167,30,21378,2966,18,80,0,2
353,Product Research Analyst,1,No,833,96,23231,2723,11,80,0,0
1932,Product Research Analyst,2,Yes,735,86,26496,5747,15,80,0,3
496,Client Relations Executive,2,No,755,97,19394,6540,19,80,0,5
1534,Lab Analyst,1,No,676,86,21831,2018,14,80,0,3
1242,Product Research Lead,3,Yes,458,60,23281,13191,17,80,0,6
193,Product Research Analyst,2,Yes,364,32,2302,4317,20,80,0,2
720,Business Development Associate,2,No,693,65,24785,4577,14,80,0,3
1588,Business Development Associate,3,No,1462,38,4658,8237,11,80,1,3
1361,Lab Analyst,1,No,329,88,6762,2387,22,80,1,3
