EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance
686,3,3,4,3,3,3
1190,3,3,1,3,3,3
1805,1,3,2,3,4,3
511,1,3,2,3,4,3
1019,2,1,1,3,1,2
1001,3,3,2,3,2,3
1835,2,1,4,4,1,2
611,4,3,4,3,2,4
364,1,3,3,3,3,1
98,3,3,4,4,4,3
1278,4,2,2,3,4,3
321,2,3,3,3,4,2
595,2,3,4,3,1,3
525,4,3,4,4,1,3
845,3,3,3,4,2,4
242,3,3,4,3,1,4
23,1,2,4,3,3,3
1801,2,2,2,3,3,3
1461,4,4,2,3,4,3
461,3,2,4,3,2,3
1424,2,4,4,3,4,4
1233,2,4,4,3,2,3
825,4,3,2,3,4,3
79,4,3,4,3,4,3
1732,3,3,4,3,2,2
377,4,3,4,4,4,2
2032,4,3,3,3,4,1
1220,2,3,3,3,1,2
1552,4,3,4,3,3,3
1944,1,2,2,3,1,3
384,3,3,2,4,1,1
1804,2,3,4,3,3,3
969,2,2,4,3,1,3
492,3,2,3,3,1,3
1905,4,1,1,4,2,3
47,1,2,3,3,3,3
1022,1,2,3,3,4,3
1830,4,3,4,3,2,2
922,3,2,3,3,4,2
1813,1,3,3,3,3,2
1859,4,1,3,3,4,3
1374,1,2,3,4,3,3
752,3,4,3,3,4,3
1647,2,4,3,3,1,3
959,4,2,2,3,2,4
1026,4,2,4,3,3,3
260,4,3,2,3,4,2
1283,4,3,4,3,4,2
613,3,2,4,4,3,2
1216,4,2,1,3,3,3
523,3,3,3,3,1,3
941,2,2,3,3,2,4
1050,3,2,2,3,1,3
2034,1,2,2,4,3,3
1013,3,3,3,3,3,3
562,3,3,4,3,3,1
499,2,2,3,4,3,3
550,3,3,3,3,3,2
97,2,4,4,3,2,3
1939,1,4,3,3,1,3
1619,4,2,1,3,1,3
679,1,3,4,3,4,2
1150,2,2,4,3,3,2
267,2,4,1,3,1,2
1601,3,2,4,3,4,2
851,1,3,3,3,3,2
151,3,2,2,3,3,3
558,3,3,3,3,4,3
1972,4,3,2,3,2,3
1363,4,3,4,3,3,3
836,2,3,2,3,4,2
1979,3,3,3,4,3,4
118,3,2,4,3,4,3
1185,4,2,4,3,2,4
1928,3,4,1,3,4,3
1976,4,2,3,3,4,3
1043,4,3,1,3,3,3
675,1,3,3,4,4,3
15,4,2,3,3,4,3
526,3,3,3,3,4,3
390,1,3,1,3,3,3
961,4,3,4,3,3,1
1692,4,3,2,3,1,3
1940,2,3,4,3,4,4
960,1,3,1,3,2,3
1191,4,3,1,3,4,3
216,3,3,3,3,4,3
1251,3,3,1,3,4,2
1644,3,2,4,4,2,3
352,1,3,3,3,4,3
453,2,1,4,4,3,2
1945,2,3,1,3,4,1
1467,1,3,3,3,4,3
704,3,2,3,3,3,3
1431,4,3,1,3,3,3
1066,3,3,1,3,2,2
1807,4,3,1,3,3,2
1052,1,3,3,3,2,2
1527,3,3,2,3,4,4
714,4,4,4,4,2,3
28,1,3,2,3,3,3
477,1,2,4,4,2,3
1747,3,2,4,3,3,2
460,4,3,4,3,3,2
578,3,3,3,3,3,3
638,4,2,3,3,3,3
300,3,3,3,3,4,2
1273,3,1,4,3,4,3
1937,4,2,2,3,3,3
1425,1,3,2,3,4,3
2014,1,3,4,3,1,3
124,3,2,1,3,3,2
1422,4,3,4,3,4,2
972,3,3,2,3,2,2
1403,4,2,4,3,4,3
206,2,3,2,3,3,1
1784,1,2,4,3,1,3
2064,2,4,2,4,2,3
1098,2,2,1,3,4,3
805,1,3,4,3,2,2
983,3,3,4,3,2,3
1729,2,3,4,3,2,2
657,4,2,2,3,4,4
773,4,3,3,3,2,1
1113,4,3,3,3,4,3
700,1,2,4,3,4,3
878,1,2,1,4,3,3
1542,3,2,2,3,2,3
1837,1,3,3,3,2,3
1099,4,2,4,3,3,3
153,3,2,1,3,4,3
1028,2,3,4,4,1,2
1529,4,2,2,3,4,1
1158,2,3,4,3,1,3
158,3,3,4,3,4,4
911,1,3,4,4,3,1
880,4,2,3,4,2,3
493,3,2,2,3,4,3
372,3,3,4,3,2,3
910,4,3,2,3,3,4
1304,3,4,4,3,3,4
1140,4,3,3,3,4,2
1212,2,3,2,3,4,3
60,2,3,3,4,3,3
1771,4,3,2,3,4,2
1396,3,3,2,3,1,2
1226,3,4,4,3,4,3
1073,4,2,4,3,2,2
7,1,3,2,3,4,3
1415,1,3,4,3,2,2
1787,2,2,2,3,1,3
363,3,1,2,3,2,2
1635,4,2,4,3,1,3
1882,3,3,4,3,4,3
593,3,2,3,3,3,3
1412,3,3,4,3,3,3
1522,1,2,1,3,3,1
1166,2,3,3,3,3,2
1842,4,4,1,3,3,3
417,3,4,4,3,1,2
1622,2,1,1,4,2,2
428,4,3,2,3,2,3
201,2,3,2,3,4,3
797,2,4,4,3,3,3
64,1,2,3,3,4,3
1618,2,3,1,3,4,3
1011,3,3,1,3,3,3
1162,4,2,3,3,3,3
1577,1,3,4,3,3,1
632,4,3,4,3,3,3
1367,4,2,2,3,2,2
905,1,3,1,3,4,3
530,4,2,1,3,3,3
699,2,2,2,3,3,3
437,4,3,3,3,1,3
24,4,3,4,3,3,3
954,1,2,2,3,2,2
46,4,4,3,3,4,2
1259,1,3,3,3,2,3
1154,3,2,3,3,4,3
1850,4,3,4,3,3,2
544,1,3,4,4,4,2
1285,3,3,2,3,3,4
733,4,3,1,4,3,2
1048,2,3,4,3,3,1
1496,2,3,3,3,2,2
337,2,3,3,3,1,3
1592,4,4,3,3,4,3
1088,3,2,3,3,1,2
661,2,2,4,3,3,2
207,2,3,4,3,4,3
1350,3,3,3,3,2,3
1193,3,3,1,4,3,3
864,4,3,1,3,3,3
956,3,2,1,3,2,3
789,1,2,1,3,2,3
1971,1,3,3,3,2,3
22,4,4,4,3,2,2
167,4,3,3,3,4,2
1294,3,3,2,3,4,3
1379,3,2,4,3,3,4
2025,4,3,2,3,2,3
259,3,2,3,3,1,3
1607,2,4,4,3,4,3
1397,3,3,3,4,2,3
2019,1,3,4,3,2,2
1720,1,3,3,3,1,2
838,3,2,4,3,3,3
246,3,3,4,4,3,3
411,4,2,3,3,1,3
669,3,3,3,3,3,3
1847,4,3,2,4,4,3
1725,2,3,1,3,2,4
1701,2,2,4,3,2,3
707,4,4,2,4,3,3
1506,1,2,3,3,4,1
643,4,2,2,4,4,3
214,2,2,2,4,2,2
21,1,4,2,3,4,2
1513,4,3,2,3,3,3
749,3,3,3,3,3,3
913,2,3,1,3,4,3
1684,4,2,3,3,1,3
1436,3,2,1,3,1,2
1727,3,3,2,3,4,3
1346,3,3,4,3,3,3
1948,3,3,1,3,4,4
389,2,3,4,3,4,3
1107,1,3,3,4,3,2
309,3,2,4,3,1,3
33,2,1,1,4,2,3
585,4,3,2,3,1,3
2013,2,2,2,3,2,3
315,3,2,4,3,3,2
49,4,3,4,3,1,3
1038,1,1,4,3,4,3
1474,3,3,3,3,3,4
631,4,4,3,3,4,3
1756,4,3,2,3,4,2
2031,1,3,3,3,1,2
958,3,3,3,4,3,3
1900,4,3,4,3,2,3
887,3,3,1,3,2,3
1778,2,3,4,3,2,3
1631,3,3,3,3,1,2
1719,4,2,2,3,3,3
1873,2,2,4,4,2,4
1111,1,2,2,3,1,3
217,3,3,4,4,1,3
1338,4,3,2,3,1,3
1667,4,3,4,4,1,4
1138,4,2,2,3,2,3
1746,1,3,4,3,4,3
1228,4,3,4,3,3,2
1277,1,1,2,3,1,3
205,2,3,3,4,4,1
1888,2,2,4,3,4,2
692,3,3,4,4,3,1
1602,4,4,1,3,2,1
1728,4,3,3,3,2,3
138,1,3,3,3,3,3
812,3,2,2,3,3,3
1826,2,1,3,3,2,4
1612,1,2,1,3,1,3
70,3,2,1,3,3,3
204,3,3,2,3,1,3
534,2,4,1,3,3,3
2009,2,3,4,3,1,3
286,2,3,4,3,1,3
1982,4,3,4,3,3,4
1586,2,3,1,3,4,3
12,4,2,3,4,2,3
1430,1,3,2,3,3,4
1849,1,3,4,4,3,3
1494,2,3,1,3,3,2
606,4,3,2,3,2,4
347,4,4,1,3,3,3
1252,3,2,1,3,2,3
1799,3,3,4,3,3,4
1234,3,2,2,4,3,3
1952,3,3,1,3,4,2
861,2,2,4,3,2,2
465,3,3,4,3,3,2
1766,2,1,4,3,3,3
362,4,2,1,3,4,3
202,2,3,2,3,1,3
635,2,3,2,3,2,2
888,1,2,4,3,4,2
2048,3,2,3,3,4,3
1949,1,4,2,4,2,3
758,2,3,1,3,4,4
1295,1,3,4,3,4,3
659,3,3,4,3,2,3
1865,4,2,2,3,4,3
1649,1,3,1,3,2,1
198,2,2,4,3,4,3
533,2,3,3,3,2,3
1334,3,3,3,3,4,2
1943,2,3,4,3,3,3
916,1,3,4,3,2,3
622,3,1,4,3,2,1
253,4,3,3,3,2,3
1617,3,3,1,3,4,2
1718,4,1,3,3,3,4
842,3,3,4,3,3,2
194,1,3,3,3,3,2
1040,4,3,3,3,1,3
1380,4,3,3,3,3,2
270,3,3,3,3,2,3
1238,1,3,4,3,2,3
385,1,3,2,3,1,2
401,4,2,4,3,2,3
2027,1,3,4,3,2,4
531,2,3,3,3,3,3
161,2,3,2,3,1,3
1694,1,2,2,3,4,3
277,4,3,3,3,4,4
1164,3,3,3,3,2,1
338,3,2,4,3,3,2
1967,1,3,4,3,3,3
1947,3,3,3,3,3,2
1624,2,3,4,3,3,4
513,2,2,3,3,2,3
1816,1,3,3,3,2,3
1195,1,3,3,3,3,2
303,4,3,1,3,4,3
889,2,3,2,3,4,3
2,3,2,2,4,4,3
148,4,4,4,3,3,3
975,3,3,3,3,2,3
1974,4,1,4,3,3,3
1329,3,1,2,3,1,3
1809,4,3,1,3,2,1
1862,3,2,2,3,3,2
591,2,3,3,3,4,3
1604,3,3,2,3,3,3
1760,3,2,2,3,2,2
923,4,3,4,3,1,2
1886,4,2,2,3,4,3
1761,1,3,3,3,1,3
1829,2,3,1,3,2,3
433,3,2,2,3,1,2
900,3,3,4,3,2,3
991,3,2,1,4,1,3
1798,4,4,1,3,2,3
1368,4,3,4,3,3,4
867,3,2,4,4,3,3
875,2,3,4,3,4,3
1751,3,3,4,3,3,2
2017,3,4,4,4,1,3
1757,4,3,4,3,3,4
1909,3,3,2,4,3,3
1105,4,2,4,3,3,3
896,2,2,3,3,3,3
1427,2,1,3,3,2,3
769,4,3,4,3,4,3
950,4,3,1,3,2,3
802,4,3,1,3,2,2
1568,3,3,2,3,2,3
1772,3,3,1,4,2,3
1664,4,4,1,4,1,3
717,4,2,2,3,2,4
1492,4,3,3,3,1,3
741,1,1,2,3,4,3
1676,2,4,2,3,3,3
1037,2,1,1,3,4,3
1915,4,2,4,3,3,2
653,1,4,4,4,4,4
126,1,3,3,3,1,1
1438,1,3,4,3,3,2
781,3,3,4,4,2,2
1770,3,2,1,3,2,3
1030,1,3,4,3,2,3
1207,2,3,3,3,4,3
1246,1,4,4,3,4,3
1466,3,3,1,3,1,3
284,4,4,2,3,1,2
522,1,3,1,3,3,2
1103,1,3,4,3,3,2
1218,3,3,1,3,4,3
527,2,2,4,3,2,3
1061,2,3,3,3,4,2
1893,2,2,3,3,3,2
1739,4,1,3,3,3,1
1448,2,4,3,3,1,2
893,2,2,2,3,4,3
846,2,3,2,4,1,3
1349,3,3,1,3,4,3
1010,3,2,2,4,4,1
952,3,2,2,3,3,3
131,4,3,3,3,3,2
1116,1,4,4,4,3,2
543,4,2,3,3,3,3
682,4,3,1,4,4,4
1509,3,2,1,4,1,3
1486,1,3,3,3,4,4
1296,4,2,4,3,2,3
1081,1,3,3,3,3,4
274,3,2,1,3,3,3
177,3,3,3,4,4,3
1481,1,3,3,3,3,2
53,3,3,4,3,3,3
1434,2,3,1,3,2,4
316,3,2,4,3,2,2
502,1,4,4,3,2,2
394,1,3,2,3,4,3
560,1,3,4,4,2,1
521,2,2,3,4,2,3
820,3,3,4,3,3,2
1639,4,2,1,3,3,3
1539,3,1,4,3,4,3
899,4,2,2,3,1,3
1623,3,3,4,3,3,3
1931,2,3,2,3,3,2
712,2,4,2,3,4,3
83,3,3,3,3,2,3
19,3,2,3,3,2,3
1659,1,3,2,3,3,3
1499,3,3,3,4,1,4
664,4,2,1,3,1,1
505,3,3,4,3,3,3
254,3,4,2,3,4,3
1055,3,3,3,3,4,3
299,3,2,1,3,3,2
1100,4,3,1,4,1,3
1520,2,3,4,4,1,3
1231,4,4,1,3,1,4
455,2,2,4,3,3,3
1003,4,3,4,3,3,3
404,3,3,2,3,4,4
1433,1,2,2,3,3,4
1786,1,3,3,3,4,3
612,1,4,3,3,3,3
2062,4,2,1,3,1,3
1131,4,2,2,3,3,4
373,4,3,4,3,3,3
1402,1,2,3,3,1,1
275,4,3,4,3,1,3
218,4,3,2,3,4,1
1014,3,3,3,3,3,2
532,3,4,1,3,4,2
982,3,3,3,3,1,4
1595,4,2,4,4,4,3
784,1,4,3,3,4,3
1439,1,2,1,3,1,3
1445,4,3,3,3,3,3
1558,3,4,3,3,1,2
283,2,3,4,4,4,2
45,2,3,4,3,1,2
1076,3,2,4,3,3,3
691,2,1,4,3,2,3
2035,4,2,3,4,4,3
1960,3,2,4,3,1,2
120,3,3,4,4,4,1
1924,2,3,3,3,2,2
1254,3,2,4,3,4,3
783,2,1,3,3,1,3
1933,4,3,3,3,4,3
1077,4,3,4,3,2,3
333,3,3,4,3,1,3
18,2,3,4,3,3,3
430,3,3,4,3,1,3
830,3,2,3,3,3,3
516,4,3,2,3,3,3
1818,4,3,2,3,3,3
227,1,3,3,3,1,3
1172,4,2,3,3,2,3
26,1,4,3,3,4,2
897,1,3,4,3,3,3
1625,4,3,3,3,3,3
1160,3,3,3,3,3,2
1774,4,3,3,3,3,3
780,4,3,4,3,3,2
2016,3,3,4,3,3,3
957,4,3,1,3,3,3
1340,3,3,3,3,2,3
258,4,3,2,3,3,3
1372,1,4,3,3,3,2
976,4,3,4,3,2,2
698,3,3,2,3,3,4
1533,1,3,3,3,2,3
639,2,4,4,3,2,3
1198,1,2,3,3,1,2
1036,2,3,4,3,3,3
346,3,3,4,3,1,3
27,3,2,1,4,2,3
1875,2,3,2,3,4,3
616,1,2,3,3,1,3
1665,2,3,3,4,3,3
381,2,4,2,3,2,2
1336,4,1,3,3,4,3
1704,1,2,4,3,3,4
514,3,3,4,4,3,3
1117,2,2,3,3,4,3
2022,4,3,4,3,3,2
463,4,2,2,3,1,3
1068,1,2,3,3,3,3
1868,4,2,4,4,2,2
171,2,4,3,3,4,3
1219,4,3,2,3,1,1
1587,1,3,3,3,3,3
1968,1,3,1,3,2,2
116,4,3,4,4,2,3
448,3,2,3,3,2,4
1735,3,3,2,3,3,1
625,2,3,1,3,2,3
160,3,3,2,3,1,4
1473,1,3,3,3,2,2
1549,2,3,3,3,2,3
1596,2,4,3,3,4,2
1814,2,4,2,3,1,1
1203,3,2,4,3,2,3
2053,4,2,2,3,1,3
1591,3,3,3,3,3,3
